43.1,44.6
43.3,43.2
43.3,44.3
43.4,44.9
43.4,45.0
43.5,44.2
43.5,45.6
43.6,44.3
43.7,43.5
43.7,44.2
43.8,43.4
43.8,44.0
44.1,45.1
44.2,41.5
44.3,44.7
44.5,40.2
44.8,39.0
45.0,39.5
45.0,40.0
45.0,42.2
46.3,39.0
46.5,41.9
46.6,41.5
46.8,40.2
46.9,40.4
46.9,40.5
47.0,40.9
47.0,43.2
47.0,44.4
47.3,39.0
47.3,40.4
47.4,47.4
47.6,40.7
48.2,42.7
49.0,40.5
49.4,40.8
49.7,39.8
49.7,40.5
49.8,40.7
49.8,42.4
50.2,38.3
50.2,42.0
50.2,42.2
50.3,46.4
50.4,35.6
50.5,41.2
51.0,36.3
51.1,49.3
51.2,36.5
51.2,41.8
51.3,36.3
51.3,44.3
51.3,55.0
51.7,40.5
52.0,35.1
52.0,35.2
52.1,35.7
52.2,36.0
52.2,40.8
52.2,50.1
52.2,51.0
52.5,37.4
53.0,36.3
53.0,37.3
53.0,42.0
53.1,39.5
53.8,44.0
54.0,45.0
54.1,42.8
54.1,45.0
54.2,43.2
54.3,44.9
54.5,43.5
54.5,50.2
54.7,52.9
55.2,35.4
55.2,36.5
55.3,48.4
55.4,45.1
55.5,37.0
55.5,39.1
55.7,36.2
55.7,38.6
55.8,36.1
56.0,50.0
56.2,38.4
56.2,51.2
56.3,40.0
56.3,44.1
56.4,37.8
56.6,50.5
56.6,50.6
56.7,50.2
56.7,50.5
56.9,50.9
57.0,50.2
57.1,50.9
57.4,37.7
57.5,48.1
57.5,48.7
57.5,57.0
57.8,48.0
57.8,51.8
57.9,56.0
58.2,48.6
58.2,51.5
58.3,44.8
58.4,33.9
58.7,51.0
58.8,44.0
58.8,51.0
59.2,38.0
59.2,53.2
59.6,49.4
60.2,48.0
60.4,47.8
60.6,47.6
60.7,47.2
60.7,47.3
60.7,47.4
60.8,56.9
61.5,40.4
64.7,40.9
